"Country or Area","Year","Item","Value"
"Bahrain","2018","Gross Domestic Product (GDP)","23990.9666186315"
"Bangladesh","2019","Gross Domestic Product (GDP)","1846.41637656056"
"Bangladesh","2018","Gross Domestic Product (GDP)","1670.79635512435"
"Barbados","2019","Gross Domestic Product (GDP)","18148.9585105827"
"Barbados","2018","Gross Domestic Product (GDP)","17745.8912018867"
"Belarus","2019","Gross Domestic Product (GDP)","6673.53129099781"
"Belarus","2018","Gross Domestic Product (GDP)","6350.73185508754"
"Belgium","2019","Gross Domestic Product (GDP)","46198.3103205411"
"Belgium","2018","Gross Domestic Product (GDP)","47354.6366230532"
"Belize","2019","Gross Domestic Product (GDP)","4815.17185214409"
"Belize","2018","Gross Domestic Product (GDP)","4884.74242111776"
"Benin","2019","Gross Domestic Product (GDP)","1220.49282500616"
"Benin","2018","Gross Domestic Product (GDP)","1241.82441789072"
"Bermuda","2019","Gross Domestic Product (GDP)","117767.894282149"
"Bermuda","2018","Gross Domestic Product (GDP)","115741.538960418"
"Bhutan","2019","Gross Domestic Product (GDP)","3360.6171938127"
"Bhutan","2018","Gross Domestic Product (GDP)","3243.25848054772"
"Bolivia (Plurinational State of)","2019","Gross Domestic Product (GDP)","3552.06876026869"
"Bolivia (Plurinational State of)","2018","Gross Domestic Product (GDP)","3548.59015508971"
"Bosnia and Herzegovina","2019","Gross Domestic Product (GDP)","6108.55803229307"
"Bosnia and Herzegovina","2018","Gross Domestic Product (GDP)","6072.24536987383"
"Botswana","2019","Gross Domestic Product (GDP)","7961.36530384848"
"Botswana","2018","Gross Domestic Product (GDP)","8279.83507677736"
"Brazil","2019","Gross Domestic Product (GDP)","8755.2712081208"
"Brazil","2018","Gross Domestic Product (GDP)","9001.17209092221"
"British Virgin Islands","2019","Gross Domestic Product (GDP)","43188.6195471195"
"British Virgin Islands","2018","Gross Domestic Product (GDP)","41898.033722569"
"Brunei Darussalam","2019","Gross Domestic Product (GDP)","31086.329196003"
"Brunei Darussalam","2018","Gross Domestic Product (GDP)","31627.2330533263"
"Bulgaria","2019","Gross Domestic Product (GDP)","9703.48781427334"
"Bulgaria","2018","Gross Domestic Product (GDP)","9387.81342724046"
"Burkina Faso","2019","Gross Domestic Product (GDP)","786.895613589555"
"Burkina Faso","2018","Gross Domestic Product (GDP)","813.099750342629"
"Burundi","2019","Gross Domestic Product (GDP)","260.381563410932"
"Burundi","2018","Gross Domestic Product (GDP)","275.583910797869"
"Cabo Verde","2019","Gross Domestic Product (GDP)","3603.78257648474"
"Cabo Verde","2018","Gross Domestic Product (GDP)","3616.44153075506"
"Cambodia","2019","Gross Domestic Product (GDP)","1643.64145131163"
"Cambodia","2018","Gross Domestic Product (GDP)","1512.12727110775"
"Cameroon","2019","Gross Domestic Product (GDP)","1501.80829115329"
"Cameroon","2018","Gross Domestic Product (GDP)","1534.49199126514"
"Canada","2019","Gross Domestic Product (GDP)","46550.3355073651"
"Canada","2018","Gross Domestic Product (GDP)","46444.3966417276"
"Cayman Islands","2019","Gross Domestic Product (GDP)","92692.3705231312"
"Cayman Islands","2018","Gross Domestic Product (GDP)","85971.9311348963"
"Central African Republic","2019","Gross Domestic Product (GDP)","467.907246407659"
"Central African Republic","2018","Gross Domestic Product (GDP)","475.954443886655"
"Chad","2019","Gross Domestic Product (GDP)","706.825832843972"
"Chad","2018","Gross Domestic Product (GDP)","734.731830938309"
"Chile","2019","Gross Domestic Product (GDP)","14896.4538665783"
"Chile","2018","Gross Domestic Product (GDP)","15924.7942393076"
"China, Hong Kong SAR","2019","Gross Domestic Product (GDP)","49180.0943019454"
"China, Hong Kong SAR","2018","Gross Domestic Product (GDP)","49065.3999509968"
"China, Macao Special Administrative Region","2019","Gross Domestic Product (GDP)","84096.7054455759"
"China, Macao Special Administrative Region","2018","Gross Domestic Product (GDP)","87208.4557892553"
"China, People's Republic of","2019","Gross Domestic Product (GDP)","10003.5550025643"
"China, People's Republic of","2018","Gross Domestic Product (GDP)","9732.72762533604"
"Colombia","2019","Gross Domestic Product (GDP)","6432.38758339545"
"Colombia","2018","Gross Domestic Product (GDP)","6716.9127480472"
"Comoros","2019","Gross Domestic Product (GDP)","1370.14916822284"
"Comoros","2018","Gross Domestic Product (GDP)","1415.95516376541"
"Congo","2019","Gross Domestic Product (GDP)","2304.12650773654"
"Congo","2018","Gross Domestic Product (GDP)","2547.51915135037"
"Cook Islands","2019","Gross Domestic Product (GDP)","21603.4643468052"
"Cook Islands","2018","Gross Domestic Product (GDP)","20705.2112453625"
"Costa Rica","2019","Gross Domestic Product (GDP)","12238.3750542873"
"Costa Rica","2018","Gross Domestic Product (GDP)","12112.1343944382"
"Côte d'Ivoire","2019","Gross Domestic Product (GDP)","2276.34032918416"
"Côte d'Ivoire","2018","Gross Domestic Product (GDP)","2314.03165959858"
"Croatia","2019","Gross Domestic Product (GDP)","14627.2947135123"
"Croatia","2018","Gross Domestic Product (GDP)","14674.0231274599"
"Cuba","2019","Gross Domestic Product (GDP)","9295.90163588722"
"Cuba","2018","Gross Domestic Product (GDP)","8821.82200351486"
"Curaçao","2019","Gross Domestic Product (GDP)","18980.0011595433"
"Curaçao","2018","Gross Domestic Product (GDP)","19218.8608311347"
"Cyprus","2019","Gross Domestic Product (GDP)","28284.9076314006"
"Cyprus","2018","Gross Domestic Product (GDP)","28967.5766810676"
"Czechia","2019","Gross Domestic Product (GDP)","23451.7357205428"
"Czechia","2018","Gross Domestic Product (GDP)","23337.3588772191"
"Democratic People's Republic of Korea","2019","Gross Domestic Product (GDP)","639.556389910187"
"Democratic People's Republic of Korea","2018","Gross Domestic Product (GDP)","687.943178432234"
"Democratic Republic of the Congo","2019","Gross Domestic Product (GDP)","545.216205310375"
"Democratic Republic of the Congo","2018","Gross Domestic Product (GDP)","560.807354282759"
"Denmark","2019","Gross Domestic Product (GDP)","60656.9385168141"
"Denmark","2018","Gross Domestic Product (GDP)","62043.0602177171"
"Djibouti","2019","Gross Domestic Product (GDP)","3252.32040854545"
"Djibouti","2018","Gross Domestic Product (GDP)","3048.58950389413"
"Dominica","2019","Gross Domestic Product (GDP)","8110.51693404635"
"Dominica","2018","Gross Domestic Product (GDP)","7687.57029280589"
"Dominican Republic","2019","Gross Domestic Product (GDP)","8282.12308689232"
"Dominican Republic","2018","Gross Domestic Product (GDP)","8050.64978313272"
"Ecuador","2019","Gross Domestic Product (GDP)","6183.82382482173"
"Ecuador","2018","Gross Domestic Product (GDP)","6295.93503016034"
"Egypt","2019","Gross Domestic Product (GDP)","3161.32468433375"
"Egypt","2018","Gross Domestic Product (GDP)","2537.51220924576"
"El Salvador","2019","Gross Domestic Product (GDP)","4187.2500311069"
"El Salvador","2018","Gross Domestic Product (GDP)","4067.65818177514"
"Equatorial Guinea","2019","Gross Domestic Product (GDP)","8130.40717762412"
"Equatorial Guinea","2018","Gross Domestic Product (GDP)","10144.1888211882"
"Eritrea","2019","Gross Domestic Product (GDP)","566.711679389871"
"Eritrea","2018","Gross Domestic Product (GDP)","580.881170971124"
"Estonia","2019","Gross Domestic Product (GDP)","23740.1637963042"
"Estonia","2018","Gross Domestic Product (GDP)","23154.1909010774"
"Ethiopia","2019","Gross Domestic Product (GDP)","827.544332602037"
"Ethiopia","2018","Gross Domestic Product (GDP)","734.362795136612"
"Fiji","2019","Gross Domestic Product (GDP)","6185.10033842033"
"Fiji","2018","Gross Domestic Product (GDP)","6267.01123156063"
"Finland","2019","Gross Domestic Product (GDP)","48678.3652124762"
"Finland","2018","Gross Domestic Product (GDP)","49966.9999251841"
"France","2019","Gross Domestic Product (GDP)","40318.7527356019"
"France","2018","Gross Domestic Product (GDP)","41491.611058207"
"French Polynesia","2019","Gross Domestic Product (GDP)","21566.946148538"
"French Polynesia","2018","Gross Domestic Product (GDP)","22238.2675690276"
"Gabon","2019","Gross Domestic Product (GDP)","7773.19891997638"
"Gabon","2018","Gross Domestic Product (GDP)","8018.81643954988"
"Gambia","2019","Gross Domestic Product (GDP)","776.444496742622"
"Gambia","2018","Gross Domestic Product (GDP)","734.580086589617"
"Georgia","2019","Gross Domestic Product (GDP)","4439.32397834453"
"Georgia","2018","Gross Domestic Product (GDP)","4396.66681966925"
"Germany","2019","Gross Domestic Product (GDP)","46231.5633657681"
"Germany","2018","Gross Domestic Product (GDP)","47684.7552334258"
"Ghana","2019","Gross Domestic Product (GDP)","2202.62920747565"
"Ghana","2018","Gross Domestic Product (GDP)","2201.58439678983"
"Greece","2019","Gross Domestic Product (GDP)","19604.4891246965"
"Greece","2018","Gross Domestic Product (GDP)","20171.5267492165"
"Greenland","2019","Gross Domestic Product (GDP)","53352.6477318732"
"Greenland","2018","Gross Domestic Product (GDP)","53949.8145591123"
"Grenada","2019","Gross Domestic Product (GDP)","10817.7327260745"
"Grenada","2018","Gross Domestic Product (GDP)","10485.9060439484"
"Guatemala","2019","Gross Domestic Product (GDP)","4363.13879349821"
"Guatemala","2018","Gross Domestic Product (GDP)","4239.28179637362"
"Guinea","2019","Gross Domestic Product (GDP)","967.360684169547"
"Guinea","2018","Gross Domestic Product (GDP)","878.601384677045"
"Guinea-Bissau","2019","Gross Domestic Product (GDP)","688.351615288899"
"Guinea-Bissau","2018","Gross Domestic Product (GDP)","737.58275087299"
"Guyana","2019","Gross Domestic Product (GDP)","6609.58727365077"
"Guyana","2018","Gross Domestic Product (GDP)","6145.82815220471"
"Haiti","2019","Gross Domestic Product (GDP)","714.83024698085"
"Haiti","2018","Gross Domestic Product (GDP)","834.94717639475"
"Honduras","2019","Gross Domestic Product (GDP)","2574.90810220421"
"Honduras","2018","Gross Domestic Product (GDP)","2505.77378592468"
"Hungary","2019","Gross Domestic Product (GDP)","16879.1389851905"
"Hungary","2018","Gross Domestic Product (GDP)","16525.2487639614"
"Iceland","2019","Gross Domestic Product (GDP)","71344.6136688474"
"Iceland","2018","Gross Domestic Product (GDP)","76437.7803174276"
"India","2019","Gross Domestic Product (GDP)","2116.17738598968"
"India","2018","Gross Domestic Product (GDP)","2050.5497157152"
"Indonesia","2019","Gross Domestic Product (GDP)","4135.56927434869"
"Indonesia","2018","Gross Domestic Product (GDP)","3893.74303079214"
"Iran, Islamic Republic of","2019","Gross Domestic Product (GDP)","7282.00594564275"
"Iran, Islamic Republic of","2018","Gross Domestic Product (GDP)","5647.17907241968"
"Iraq","2019","Gross Domestic Product (GDP)","5729.67735802716"
"Iraq","2018","Gross Domestic Product (GDP)","5606.79930583884"
"Ireland","2019","Gross Domestic Product (GDP)","81636.5785548929"
"Ireland","2018","Gross Domestic Product (GDP)","80137.0626041549"
"Israel","2019","Gross Domestic Product (GDP)","46376.4665103988"
"Israel","2018","Gross Domestic Product (GDP)","44214.9103510778"
"Italy","2019","Gross Domestic Product (GDP)","33089.5733076802"
"Italy","2018","Gross Domestic Product (GDP)","34498.4069153331"
"Jamaica","2019","Gross Domestic Product (GDP)","5369.49399031268"
"Jamaica","2018","Gross Domestic Product (GDP)","5360.00395443103"
"Japan","2019","Gross Domestic Product (GDP)","40063.4853523744"
"Japan","2018","Gross Domestic Product (GDP)","38952.2109807289"
"Jordan","2019","Gross Domestic Product (GDP)","4405.48059577022"
"Jordan","2018","Gross Domestic Product (GDP)","4308.18107020741"
"Kazakhstan","2019","Gross Domestic Product (GDP)","9792.62592799356"
"Kazakhstan","2018","Gross Domestic Product (GDP)","9789.50420893393"
"Kenya","2019","Gross Domestic Product (GDP)","1816.52379547512"
"Kenya","2018","Gross Domestic Product (GDP)","1708.00204084886"
"Kingdom of Eswatini","2019","Gross Domestic Product (GDP)","4001.57828512019"
"Kingdom of Eswatini","2018","Gross Domestic Product (GDP)","4152.37247272338"
"Kiribati","2019","Gross Domestic Product (GDP)","1656.94481484792"
"Kiribati","2018","Gross Domestic Product (GDP)","1698.24258323139"
"Kosovo","2019","Gross Domestic Product (GDP)","4473.42700515833"
"Kosovo","2018","Gross Domestic Product (GDP)","4452.57736651446"
"Kuwait","2019","Gross Domestic Product (GDP)","31999.271891386"
"Kuwait","2018","Gross Domestic Product (GDP)","33999.242958039"
"Kyrgyzstan","2019","Gross Domestic Product (GDP)","1317.77077204302"
"Kyrgyzstan","2018","Gross Domestic Product (GDP)","1312.03471367403"
"Lao People's Democratic Republic","2019","Gross Domestic Product (GDP)","2625.3871105515"
"Lao People's Democratic Republic","2018","Gross Domestic Product (GDP)","2569.0924641328"
"Latvia","2019","Gross Domestic Product (GDP)","17885.4274448227"
"Latvia","2018","Gross Domestic Product (GDP)","17846.3803789381"
"Lebanon","2019","Gross Domestic Product (GDP)","7784.31685692976"
"Lebanon","2018","Gross Domestic Product (GDP)","8012.53923684469"
"Lesotho","2019","Gross Domestic Product (GDP)","1157.53602706394"
"Lesotho","2018","Gross Domestic Product (GDP)","1221.12323754609"
"Liberia","2019","Gross Domestic Product (GDP)","522.999167776231"
"Liberia","2018","Gross Domestic Product (GDP)","569.61447740006"
"Libya","2019","Gross Domestic Product (GDP)","4810.08238513129"
"Libya","2018","Gross Domestic Product (GDP)","5201.19789309078"
"Liechtenstein","2019","Gross Domestic Product (GDP)","178799.449955691"
"Liechtenstein","2018","Gross Domestic Product (GDP)","180407.852034163"
"Lithuania","2019","Gross Domestic Product (GDP)","19795.2157521544"
"Lithuania","2018","Gross Domestic Product (GDP)","19178.0864250393"
"Luxembourg","2019","Gross Domestic Product (GDP)","115480.867570215"
"Luxembourg","2018","Gross Domestic Product (GDP)","117369.540526648"
"Madagascar","2019","Gross Domestic Product (GDP)","522.989510926798"
"Madagascar","2018","Gross Domestic Product (GDP)","523.945978505324"
"Malawi","2019","Gross Domestic Product (GDP)","434.772494014265"
"Malawi","2018","Gross Domestic Product (GDP)","395.763935563033"
"Malaysia","2019","Gross Domestic Product (GDP)","11414.2936538308"
"Malaysia","2018","Gross Domestic Product (GDP)","11377.5682271281"
"Maldives","2019","Gross Domestic Product (GDP)","10626.4844404174"
"Maldives","2018","Gross Domestic Product (GDP)","10279.2074748925"
"Mali","2019","Gross Domestic Product (GDP)","886.794271271705"
"Mali","2018","Gross Domestic Product (GDP)","894.805124950002"
"Malta","2019","Gross Domestic Product (GDP)","33752.3705163352"
"Malta","2018","Gross Domestic Product (GDP)","33345.9517042674"
"Marshall Islands","2019","Gross Domestic Product (GDP)","4038.17023013727"
"Marshall Islands","2018","Gross Domestic Product (GDP)","3788.16280622464"
"Mauritania","2019","Gross Domestic Product (GDP)","1677.91772830989"
"Mauritania","2018","Gross Domestic Product (GDP)","1600.87865019293"
"Mauritius","2019","Gross Domestic Product (GDP)","11168.6188001499"
"Mauritius","2018","Gross Domestic Product (GDP)","11191.5646251527"
"Mexico","2019","Gross Domestic Product (GDP)","9848.60435301128"
"Mexico","2018","Gross Domestic Product (GDP)","9673.42273626036"
"Micronesia (Federated States of)","2019","Gross Domestic Product (GDP)","3640.41908360058"
"Micronesia (Federated States of)","2018","Gross Domestic Product (GDP)","3568.00426136364"
"Monaco","2019","Gross Domestic Product (GDP)","190532.469952153"
"Monaco","2018","Gross Domestic Product (GDP)","185984.61243665"
"Mongolia","2019","Gross Domestic Product (GDP)","4295.23502879098"
"Mongolia","2018","Gross Domestic Product (GDP)","4134.97684024614"
"Montenegro","2019","Gross Domestic Product (GDP)","8825.34451440519"
"Montenegro","2018","Gross Domestic Product (GDP)","8771.63114046894"
"Montserrat","2019","Gross Domestic Product (GDP)","13487.4501681477"
"Montserrat","2018","Gross Domestic Product (GDP)","12435.9288188649"
"Morocco","2019","Gross Domestic Product (GDP)","3282.00759724233"
"Morocco","2018","Gross Domestic Product (GDP)","3277.80099654481"
"Mozambique","2019","Gross Domestic Product (GDP)","503.745208975303"
"Mozambique","2018","Gross Domestic Product (GDP)","503.30209447779"
"Myanmar","2019","Gross Domestic Product (GDP)","1420.74081277652"
"Myanmar","2018","Gross Domestic Product (GDP)","1370.68574784542"
"Namibia","2019","Gross Domestic Product (GDP)","4957.35857735007"
"Namibia","2018","Gross Domestic Product (GDP)","5495.30837238384"
"Nauru","2019","Gross Domestic Product (GDP)","12350.9261281719"
"Nauru","2018","Gross Domestic Product (GDP)","12952.5417271887"
"Nepal","2019","Gross Domestic Product (GDP)","1073.621800587"
"Nepal","2018","Gross Domestic Product (GDP)","995.096981490121"
"Netherlands","2019","Gross Domestic Product (GDP)","53052.814311238"
"Netherlands","2018","Gross Domestic Product (GDP)","53579.543562648"
"New Caledonia","2019","Gross Domestic Product (GDP)","34941.5015410633"
"New Caledonia","2018","Gross Domestic Product (GDP)","36334.8425130515"
"New Zealand","2019","Gross Domestic Product (GDP)","43229.3434792153"
"New Zealand","2018","Gross Domestic Product (GDP)","43836.1525249353"
"Nicaragua","2019","Gross Domestic Product (GDP)","1912.8991623303"
"Nicaragua","2018","Gross Domestic Product (GDP)","2020.55000225497"
"Niger","2019","Gross Domestic Product (GDP)","554.579942549984"
"Niger","2018","Gross Domestic Product (GDP)","571.273751553044"
"Nigeria","2019","Gross Domestic Product (GDP)","2361.20696665297"
"Nigeria","2018","Gross Domestic Product (GDP)","2153.52649434869"
"Norway","2019","Gross Domestic Product (GDP)","74985.5152565617"
"Norway","2018","Gross Domestic Product (GDP)","81335.6512151846"
"Oman","2019","Gross Domestic Product (GDP)","15343.0620042751"
"Oman","2018","Gross Domestic Product (GDP)","16521.2164909279"
"Pakistan","2019","Gross Domestic Product (GDP)","1186.69208046357"
"Pakistan","2018","Gross Domestic Product (GDP)","1338.97614129858"
"Palau","2019","Gross Domestic Product (GDP)","15572.4903376277"
"Palau","2018","Gross Domestic Product (GDP)","15934.0603674541"
"Panama","2019","Gross Domestic Product (GDP)","15727.970386717"
"Panama","2018","Gross Domestic Product (GDP)","15544.7233940064"
"Papua New Guinea","2019","Gross Domestic Product (GDP)","2845.1906361259"
"Papua New Guinea","2018","Gross Domestic Product (GDP)","2813.72817236545"
"Paraguay","2019","Gross Domestic Product (GDP)","5406.48341606301"
"Paraguay","2018","Gross Domestic Product (GDP)","5805.67983433046"
"Peru","2019","Gross Domestic Product (GDP)","6977.76782031013"
"Peru","2018","Gross Domestic Product (GDP)","6941.22928149612"
"Philippines","2019","Gross Domestic Product (GDP)","3323.76700629207"
"Philippines","2018","Gross Domestic Product (GDP)","3102.72695908906"
"Poland","2019","Gross Domestic Product (GDP)","15727.0306059785"
"Poland","2018","Gross Domestic Product (GDP)","15490.0942577776"
"Portugal","2019","Gross Domestic Product (GDP)","23350.3538543729"
"Portugal","2018","Gross Domestic Product (GDP)","23626.0293247179"
"Puerto Rico","2019","Gross Domestic Product (GDP)","35790.6523743032"
"Puerto Rico","2018","Gross Domestic Product (GDP)","33221.1609700763"
"Qatar","2019","Gross Domestic Product (GDP)","64781.7331974169"
"Qatar","2018","Gross Domestic Product (GDP)","68793.660782249"
"Republic of Korea","2019","Gross Domestic Product (GDP)","32143.0850115415"
"Republic of Korea","2018","Gross Domestic Product (GDP)","33705.2569425298"
"Republic of Moldova","2019","Gross Domestic Product (GDP)","2956.88324375874"
"Republic of Moldova","2018","Gross Domestic Product (GDP)","2827.64104565455"
"Republic of North Macedonia","2019","Gross Domestic Product (GDP)","6093.14769049676"
"Republic of North Macedonia","2018","Gross Domestic Product (GDP)","6062.94454531822"
"Romania","2019","Gross Domestic Product (GDP)","12914.1073964094"
"Romania","2018","Gross Domestic Product (GDP)","12387.18956682"
"Russian Federation","2019","Gross Domestic Product (GDP)","11605.5663888626"
"Russian Federation","2018","Gross Domestic Product (GDP)","11448.6381958417"
"Rwanda","2019","Gross Domestic Product (GDP)","820.091210742909"
"Rwanda","2018","Gross Domestic Product (GDP)","783.336747163165"
"Saint Kitts and Nevis","2019","Gross Domestic Product (GDP)","19896.4957043824"
"Saint Kitts and Nevis","2018","Gross Domestic Product (GDP)","19275.4185126566"
"Saint Lucia","2019","Gross Domestic Product (GDP)","11611.4221338796"
"Saint Lucia","2018","Gross Domestic Product (GDP)","11357.8835117796"
"Saint Vincent and the Grenadines","2019","Gross Domestic Product (GDP)","7463.53783093423"
"Saint Vincent and the Grenadines","2018","Gross Domestic Product (GDP)","7361.33416809574"
"Samoa","2019","Gross Domestic Product (GDP)","4285.48531678714"
"Samoa","2018","Gross Domestic Product (GDP)","4249.99922737782"
"San Marino","2019","Gross Domestic Product (GDP)","47313.3524531489"
"San Marino","2018","Gross Domestic Product (GDP)","48996.7235161106"
"Sao Tome and Principe","2019","Gross Domestic Product (GDP)","1961.24580999741"
"Sao Tome and Principe","2018","Gross Domestic Product (GDP)","1968.2498559237"
"Saudi Arabia","2019","Gross Domestic Product (GDP)","23139.802114033"
"Saudi Arabia","2018","Gross Domestic Product (GDP)","23337.0182418316"
"Senegal","2019","Gross Domestic Product (GDP)","1452.13466440408"
"Senegal","2018","Gross Domestic Product (GDP)","1465.59453649244"
"Serbia","2019","Gross Domestic Product (GDP)","7359.34853339114"
"Serbia","2018","Gross Domestic Product (GDP)","7214.95774225766"
"Seychelles","2019","Gross Domestic Product (GDP)","17381.6510825923"
"Seychelles","2018","Gross Domestic Product (GDP)","16334.8922773545"
"Sierra Leone","2019","Gross Domestic Product (GDP)","527.533631822448"
"Sierra Leone","2018","Gross Domestic Product (GDP)","533.991460116011"
"Singapore","2019","Gross Domestic Product (GDP)","64102.7376108407"
"Singapore","2018","Gross Domestic Product (GDP)","64820.7759849691"
"Sint Maarten (Dutch part)","2019","Gross Domestic Product (GDP)","23803.9067660659"
"Sint Maarten (Dutch part)","2018","Gross Domestic Product (GDP)","22746.7811158798"
"Slovakia","2019","Gross Domestic Product (GDP)","19255.8956721806"
"Slovakia","2018","Gross Domestic Product (GDP)","19384.1297607125"
"Slovenia","2019","Gross Domestic Product (GDP)","26062.1668199162"
"Slovenia","2018","Gross Domestic Product (GDP)","26066.3545959821"
"Solomon Islands","2019","Gross Domestic Product (GDP)","1944.81816940044"
"Solomon Islands","2018","Gross Domestic Product (GDP)","2000.52301690565"
"Somalia","2019","Gross Domestic Product (GDP)","105.310682404878"
"Somalia","2018","Gross Domestic Product (GDP)","103.502347615303"
"South Africa","2019","Gross Domestic Product (GDP)","6001.38957628686"
"South Africa","2018","Gross Domestic Product (GDP)","6369.23160832165"
"South Sudan","2019","Gross Domestic Product (GDP)","448.355293438912"
"South Sudan","2018","Gross Domestic Product (GDP)","427.567954504722"
"Spain","2019","Gross Domestic Product (GDP)","29815.7178089829"
"Spain","2018","Gross Domestic Product (GDP)","30457.6310115946"
"Sri Lanka","2019","Gross Domestic Product (GDP)","3939.68419759581"
"Sri Lanka","2018","Gross Domestic Product (GDP)","4165.38213473251"
"State of Palestine","2019","Gross Domestic Product (GDP)","3424.46531310349"
"State of Palestine","2018","Gross Domestic Product (GDP)","3347.04303678877"
"Sudan","2019","Gross Domestic Product (GDP)","815.06010081405"
"Sudan","2018","Gross Domestic Product (GDP)","1156.97794453906"
"Suriname","2019","Gross Domestic Product (GDP)","6359.63483441792"
"Suriname","2018","Gross Domestic Product (GDP)","6015.02374678926"
"Sweden","2019","Gross Domestic Product (GDP)","52895.9566996202"
"Sweden","2018","Gross Domestic Product (GDP)","55703.5234820086"
"Switzerland","2019","Gross Domestic Product (GDP)","85134.9548263187"
"Switzerland","2018","Gross Domestic Product (GDP)","86315.1280601767"
"Syrian Arab Republic","2019","Gross Domestic Product (GDP)","1193.85303949528"
"Syrian Arab Republic","2018","Gross Domestic Product (GDP)","965.5484976245"
"Tajikistan","2019","Gross Domestic Product (GDP)","894.012934350646"
"Tajikistan","2018","Gross Domestic Product (GDP)","853.218444493717"
"Thailand","2019","Gross Domestic Product (GDP)","7784.73908022857"
"Thailand","2018","Gross Domestic Product (GDP)","7273.56485031337"
"Timor-Leste","2019","Gross Domestic Product (GDP)","1560.50984016166"
"Timor-Leste","2018","Gross Domestic Product (GDP)","1230.226287763"
"Togo","2019","Gross Domestic Product (GDP)","899.490744447516"
"Togo","2018","Gross Domestic Product (GDP)","904.105780291361"
"Tonga","2019","Gross Domestic Product (GDP)","4865.49169450543"
"Tonga","2018","Gross Domestic Product (GDP)","4649.84500196811"
"Trinidad and Tobago","2019","Gross Domestic Product (GDP)","16637.2598128427"
"Trinidad and Tobago","2018","Gross Domestic Product (GDP)","17038.0543633824"
"Tunisia","2019","Gross Domestic Product (GDP)","3317.51527558706"
"Tunisia","2018","Gross Domestic Product (GDP)","3438.84896794772"
"Turkey","2019","Gross Domestic Product (GDP)","9126.56245874789"
"Turkey","2018","Gross Domestic Product (GDP)","9453.25484947383"
"Turkmenistan","2019","Gross Domestic Product (GDP)","8124.49404664637"
"Turkmenistan","2018","Gross Domestic Product (GDP)","6964.61304477476"
"Turks and Caicos Islands","2019","Gross Domestic Product (GDP)","31353.4602393234"
"Turks and Caicos Islands","2018","Gross Domestic Product (GDP)","29554.7590601354"
"Tuvalu","2019","Gross Domestic Product (GDP)","4036.00051601035"
"Tuvalu","2018","Gross Domestic Product (GDP)","4000.6208152482"
"Uganda","2019","Gross Domestic Product (GDP)","736.603086731172"
"Uganda","2018","Gross Domestic Product (GDP)","694.796847129856"
"Ukraine","2019","Gross Domestic Product (GDP)","3495.53116259077"
"Ukraine","2018","Gross Domestic Product (GDP)","2958.49192678816"
"United Arab Emirates","2019","Gross Domestic Product (GDP)","43103.3230583159"
"United Arab Emirates","2018","Gross Domestic Product (GDP)","43839.3563491469"
"United Kingdom of Great Britain and Northern Ireland","2019","Gross Domestic Product (GDP)","41854.503067717"
"United Kingdom of Great Britain and Northern Ireland","2018","Gross Domestic Product (GDP)","42556.5215919012"
"United Republic of Tanzania: Mainland","2019","Gross Domestic Product (GDP)","1084.37349142842"
"United Republic of Tanzania: Mainland","2018","Gross Domestic Product (GDP)","1041.47588225313"
"United Republic of Tanzania: Zanzibar","2019","Gross Domestic Product (GDP)","1110.84267086765"
"United Republic of Tanzania: Zanzibar","2018","Gross Domestic Product (GDP)","1025.77944729738"
